#SampleID	ERR1017187	ERR1019366	ERR1022687	ERR1022692	ERR1034454	ERR1035437	ERR1035438	ERR1035441	ERR1039457	ERR1039458	ERR1039459	ERR1039460	ERR1039461	ERR1039462	ERR1039463	ERR1039464	ERR1039465	ERR1039466	ERR1039467	ERR1039468	ERR1039469	ERR1039471	ERR1039472	ERR1039473	ERR1039474	ERR1039475	ERR1039476	ERR1039477	ERR1041384	ERR1041385	ERR1043165	ERR1043166	ERR1044071	ERR1044072	ERR1051325	ERR1051326	ERZ122765	ERZ122766	ERZ122767	ERZ122768	ERZ122772	ERZ122774	ERZ122778	ERZ122784	ERZ122786	ERZ122791
sk__Archaea;k__;p__Thaumarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Nitrososphaera;s__Nitrososphaera_viennensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria	684.0	1191.0	864.0	312.0	988.0	2065.0	1009.0	737.0	611.0	913.0	630.0	909.0	736.0	730.0	533.0	662.0	795.0	1195.0	1027.0	691.0	660.0	2471.0	1849.0	1837.0	1998.0	1730.0	1999.0	1460.0	1757.0	1832.0	2045.0	1783.0	2210.0	2177.0	2752.0	1601.0	0	0	0	0	1.0	0	0	0	0	1.0
sk__Bacteria;k__;p__;c__;o__;f__;g__;s__Antarctic_bacterium_G024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__;c__;o__;f__;g__;s__Cyclohexane_degrading_bacterium_enrichment_culture_clone_type_I	0	0	0	0	1.0	1.0	3.0	2.0	3.0	0	0	1.0	2.0	0	2.0	0	2.0	0	11.0	3.0	4.0	1.0	0	24.0	31.0	3.0	10.0	60.0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__;c__;o__;f__;g__;s__Gram-positive_bacterium_SOGA22	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__;c__;o__;f__;g__;s__Parcubacteria_group_bacterium_GW2011_GWA1_40_21	0	0	0	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__;c__;o__;f__;g__;s__Parcubacteria_group_bacterium_GW2011_GWA1_48_11b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__;c__;o__;f__;g__;s__Parcubacteria_group_bacterium_GW2011_GWA1_60_11	0	1.0	0	0	0	0	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	1.0	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__;c__;o__;f__;g__;s__Parcubacteria_group_bacterium_GW2011_GWA2_40_14	1.0	1.0	0	0	0	7.0	2.0	2.0	1.0	1.0	1.0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__;c__;o__;f__;g__;s__Parcubacteria_group_bacterium_GW2011_GWA2_42_14	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0
