#SampleID	SRR900226	SRR901080	SRR901090	SRR901100	SRR901110	SRR901120	SRR901130	SRR901140	SRR901081	SRR901091	SRR901101	SRR901111	SRR901121	SRR901131	SRR901141	SRR901032	SRR901082	SRR901092	SRR901102	SRR901112	SRR901122	SRR901132	SRR901142	SRR901083	SRR901093	SRR901103	SRR901113	SRR901123	SRR901133	SRR901143	SRR901084	SRR901094	SRR901104	SRR901114	SRR901124	SRR901134	SRR901144	SRR901085	SRR901095	SRR901105	SRR901115	SRR901125	SRR901135	SRR901086	SRR901096	SRR901106	SRR901116	SRR901126	SRR901136	SRR901087	SRR901097	SRR901107	SRR901117	SRR901127	SRR901137	SRR901088	SRR901098	SRR901108	SRR901118	SRR901128	SRR901138	SRR901079	SRR901089	SRR901099	SRR901109	SRR901119	SRR901129	SRR901139
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria	31	9	9	34	81	11	63	10	11	29	14	19	102	67	59	104	46	3246	47	13	2	159	125	0	24	155	63	1	67	126	7	98	15	54	0	14	67	2	5	24	202	0	136	3	57	13	41	8	109	4	56	27	4	25	175	15	75	21	104	55	11	17	7	29	44	6	111	98
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Acidothermales	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Acidothermales;f__Acidothermaceae	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Acidothermales;f__Acidothermaceae;g__Acidothermus	16	0	0	0	0	1	0	0	1	4	0	0	15	0	0	0	0	121	2	0	3	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	4	17	0	0	0	0	1	0	0	0	1	0	0	3	0	0	4	0	1	0	16	0	0	0	16	0	10	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Gardnerella	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Gardnerella;s__Gardnerella_vaginalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__;g__Lawsonella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Cryptosporangiales	0	0	0	0	0	0	1	5	0	0	0	0	0	1	6	0	0	79	1	0	0	1	0	0	0	2	0	0	0	16	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	14	1	6	0	0	0	1	0	0	5	2	0	0	3
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Cryptosporangiales;f__Cryptosporangiaceae	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	15	0	0	0	0	0	0	2	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Cryptosporangiales;f__Cryptosporangiaceae;g__Cryptosporangium	0	0	0	0	12	0	3	12	1	1	1	0	0	1	28	2	0	382	12	0	0	5	2	0	4	6	1	0	3	92	0	2	1	44	0	0	2	0	0	0	7	0	1	0	1	0	0	0	0	0	8	0	1	0	32	0	57	0	3	2	6	1	0	21	2	0	2	2
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Frankiales	61	31	7	827	39	9	232	13	29	41	4	153	11	242	39	330	175	12302	74	1	0	338	336	0	13	816	26	1	204	151	5	1780	7	219	6	5	240	4	3	37	911	4	320	0	1408	111	25	4	262	6	77	72	12	13	104	28	71	12	503	233	19	26	3	51	22	1	319	341
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Frankiales;f__;g__;s__Frankiales_bacterium	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Frankiales;f__Frankiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	54	2	0	0	0	2	0	0	0	1	0	0	13	0	0	0	11	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	5	0	5	0	0	0	3	0	0	2	1	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Frankiales;f__Frankiaceae;g__Frankia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Frankiales;f__Frankiaceae;g__Jatrophihabitans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	2	0	0	0	0	0	2	2	24	0	0	0	0	1	3	0	0	0	0	0	1	3	0	0	0	0	0	0	8	0	0	0	0	0	0	0	1	0	0	10	0	0	0	0	0	0	23	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Geodermatophilales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	8	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Geodermatophilales;f__Geodermatophilaceae	4	0	1	11	1	2	80	6	1	9	1	6	14	162	45	89	18	2352	9	0	2	156	151	1	7	75	7	2	79	20	2	26	16	17	0	0	281	7	5	4	197	0	147	1	9	0	7	6	88	1	8	25	0	15	25	9	49	1	48	89	8	1	0	3	2	0	124	152
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Geodermatophilales;f__Geodermatophilaceae;g__Blastococcus	1	0	1	0	0	0	6	1	0	4	0	2	0	5	3	6	0	228	0	0	0	28	15	0	0	8	2	0	18	0	0	2	3	0	0	0	3	2	0	1	12	0	21	0	1	0	2	2	26	0	0	0	0	2	3	1	0	0	1	7	0	0	0	1	0	0	14	23
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Geodermatophilales;f__Geodermatophilaceae;g__Geodermatophilus	0	0	0	4	0	1	21	0	0	0	1	1	0	62	19	0	1	869	0	1	0	98	69	0	0	28	7	0	31	6	0	10	1	5	1	0	31	1	0	0	70	0	79	0	1	0	0	0	63	1	0	11	0	2	2	1	8	0	3	48	3	1	0	0	0	0	75	113
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Geodermatophilales;f__Geodermatophilaceae;g__Modestobacter	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	30	4	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Glycomycetales	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Glycomycetales;f__Glycomycetaceae	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Glycomycetales;f__Glycomycetaceae;g__Glycomyces	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Kineosporiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Kineosporiales;f__Kineosporiaceae	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	7	0	22	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Kineosporiales;f__Kineosporiaceae;g__Quadrisphaera	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Micrococcales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	26	0	0	0	3	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	1	1
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Cellulomonadaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
